Location_ISO_Code,kasus_fatal,kasus_recovery
ID-KU,14.285000000000021,733.72659999999894
ID-NT,15.934500000000002,700.82079999999894
ID-PA,16.895300000000013,608.23260000000084
ID-JA,17.326799999999977,760.52920000000131
ID-SG,19.668699999999919,741.66440000000159
ID-KB,20.560999999999932,771.57379999999887
ID-SR,21.755600000000072,732.87229999999954
ID-SN,22.457400000000142,775.29740000000061
ID-SB,24.010300000000047,754.2531
ID-PB,24.334100000000088,757.1986999999998
ID-MU,24.628000000000114,718.42810000000179
ID-BB,24.991900000000012,771.911299999999
ID-KI,25.197899999999986,757.17169999999885
ID-GO,30.654200000000088,765.92800000000284
ID-JB,30.91500000000002,981.96640000000184
ID-RI,31.089899999999982,796.82619999999929
ID-NB,31.385899999999875,730.55370000000062
ID-YO,32.419800000000045,761.68410000000085
IDN,32.746999999999922,730.55679999999961
ID-ST,32.844200000000207,732.01280000000008
ID-KS,34.527199999999937,728.18399999999906
ID-KT,35.347600000000227,863.17479999999966
ID-MA,35.583699999999922,763.09099999999989
ID-JK,37.228799999999993,806.50839999999914
ID-BE,38.785799999999952,722.54159999999877
ID-AC,40.744499999999931,709.14220000000114
ID-BA,42.399299999999947,742.27140000000043
ID-SA,45.9789999999999,751.63240000000008
ID-KR,46.4021000000001,758.24549999999965
ID-SU,51.940999999999924,846.68940000000009
ID-SS,57.326400000000135,722.4222999999995
ID-LA,57.79520000000015,703.80569999999989
ID-JI,84.422799999999967,906.87030000000357
ID-BT,87.172199999999975,1766.4423999999981
ID-JT,107.42979999999946,756.7627
